LAG_POS,LAG_ING,MAE
7,6,7.648247757263964
2,6,7.751923062250262
3,6,7.979667561049674
8,6,8.303302544267103
4,6,8.370572285132173
9,6,8.429753529973771
5,6,8.460299733857775
6,6,8.758926515490582
6,5,8.859920320280631
2,5,8.902121953177607
7,5,8.965037261267106
5,5,9.083841806862957
8,5,9.094113052131833
9,5,9.104890661100491
5,4,9.24850153725393
3,5,9.724674626477453
7,4,9.737176560418055
4,5,9.8343476219411
2,4,9.887258487977327
4,4,9.894305689954432
9,4,9.92758338660021
6,4,10.204619884314775
8,4,10.221633840299084
4,3,10.267147181152382
3,4,10.327578158375466
8,3,10.561809316035665
6,3,10.667756406196277
2,3,10.726920079424753
5,3,10.770559562310977
9,3,10.899530600638277
7,3,10.903609090217543
3,3,11.115552711585618
7,2,11.214932121079825
9,2,11.394652448395252
8,2,11.396721619391334
2,2,11.486796554280499
6,2,11.581825516123281
4,2,11.833829987202277
3,2,29.20782776621015
5,2,29.5352453135169
